index_offset
ENSG00000011028.14;MRC2;chr17-62674062-62674170-62671997-62672152-62675789-62675905__0:0:0
ENSG00000012504.15;NR1H4;chr12-100536511-100536610-100534889-100535023-100536947-100537047__-5:0:0
ENSG00000019169.11;MARCO;chr2-118974520-118974565-118974332-118974440-118977470-118977515__0:0:0
ENSG00000038382.20;TRIO;chr5-14473993-14474097-14472591-14472658-14476893-14476963__0:0:0
ENSG00000050767.18;COL23A1;chr5-178242041-178242128-178239140-178239179-178242340-178242394__0:0:0
ENSG00000052126.15;PLEKHA5;chr12-19130050-19130130-19129732-19129888-19132392-19132450__0:0:0
ENSG00000053900.11;ANAPC4;chr4-25409697-25409791-25407196-25407253-25413644-25413742__0:-35:0
ENSG00000062038.15;CDH3;chr16-68645635-68645750-68644992-68645424-68676384-68676470__0:0:0
ENSG00000064961.19;HMG20B;chr19-3573291-3573347-3572822-3572994-3573691-3573800__0:0:0
ENSG00000064961.19;HMG20B;chr19-3573691-3573800-3572976-3573347-3574382-3574586__0:0:0
ENSG00000067900.8;ROCK1;chr18-20979909-20980004-20969957-20970513-20982762-20982783__0:0:0
ENSG00000068024.17;HDAC4;chr2-239139683-239139796-239134526-239134643-239144582-239144714__0:0:0
ENSG00000070778.13;PTPN21;chr14-88485781-88485842-88485075-88485160-88496412-88496492__10:0:0
ENSG00000072778.20;ACADVL;chr17-7220121-7220197-7219859-7220046-7220463-7220526__0:0:0
ENSG00000076928.18;ARHGEF1;chr19-41894450-41894547-41894206-41894306-41894625-41894661__0:0:0
ENSG00000078142.13;PIK3C3;chr18-41990458-41990554-41987811-41987898-41995889-41995994__0:-20:0
ENSG00000084636.18;COL16A1;chr1-31658487-31658577-31657032-31657068-31658913-31658964__0:0:0
ENSG00000085511.20;MAP3K4;chr6-161108742-161108859-161107898-161107969-161109754-161109914__0:0:0
ENSG00000088247.18;KHSRP;chr19-6416297-6416407-6415807-6415896-6416489-6416650__0:0:0
ENSG00000088386.17;SLC15A1;chr13-98709741-98709774-98709571-98709660-98709866-98709911__0:0:0
ENSG00000090686.16;USP48;chr1-21701497-21701602-21695065-21695221-21704261-21704615__0:-75:0
ENSG00000091664.9;SLC17A6;chr11-22360896-22360984-22359412-22359527-22362738-22362825__0:0:0
ENSG00000092758.18;COL9A3;chr20-62830516-62830588-62830359-62830413-62833019-62833064__0:0:0
ENSG00000092758.18;COL9A3;chr20-62838683-62838761-62836921-62837265-62840541-62840658__0:0:0
ENSG00000100065.15;CARD10;chr22-37494085-37494188-37492643-37492802-37495516-37495586__0:0:0
ENSG00000100353.18;EIF3D;chr22-36525663-36525709-36524595-36524732-36525998-36526131__0:-8:0
ENSG00000100473.18;COCH;chr14-30875055-30875103-30874558-30874972-30877571-30877728__0:0:0
ENSG00000100767.17;PAPLN;chr14-73244643-73244759-73239615-73239832-73249983-73250114__0:0:0
ENSG00000101333.18;PLCB4;chr20-9372302-9372403-9370933-9371295-9380053-9380162__0:0:0
ENSG00000103274.11;NUBP1;chr16-10743960-10744065-10743785-10743882-10747142-10747276__0:0:0
ENSG00000103932.12;RPAP1;chr15-41536128-41536218-41535511-41535632-41536500-41536649__0:-3:0
ENSG00000104131.13;EIF3J;chr15-44537323-44537427-44537124-44537237-44550875-44550930__0:0:0
ENSG00000104738.18;MCM4;chr8-47961130-47961214-47960184-47960320-47961515-47961680__0:0:0
ENSG00000104951.16;IL4I1;chr19-49891404-49891473-49890970-49891107-49894267-49894469__0:0:0
ENSG00000105364.14;MRPL4;chr19-10256707-10256825-10254588-10254640-10258221-10258234__0:0:0
ENSG00000105373.19;NOP53;chr19-47754526-47754631-47752511-47752607-47754708-47754757__0:0:0
ENSG00000105613.10;MAST1;chr19-12840990-12841066-12833950-12834006-12847289-12847450__0:0:0
ENSG00000105656.13;ELL;chr19-18451551-18451648-18450476-18450975-18461577-18461852__0:0:0
ENSG00000106070.20;GRB10;chr7-50605289-50605406-50604310-50604377-50606336-50606414__0:0:0
ENSG00000106415.13;GLCCI1;chr7-8055435-8055549-8022482-8022569-8060095-8060232__-3:0:0
ENSG00000107731.12;UNC5B;chr10-71285325-71285429-71284719-71284863-71286688-71286869__0:0:0
ENSG00000108821.14;COL1A1;chr17-50194720-50194828-50188902-50189010-50195231-50195330__0:0:0
ENSG00000108821.14;COL1A1;chr17-50195231-50195330-50195046-50195100-50195433-50195478__0:0:0
ENSG00000108821.14;COL1A1;chr17-50195566-50195665-50187483-50187537-50196313-50196367__0:0:0
ENSG00000108821.14;COL1A1;chr17-50199225-50199327-50197731-50197785-50199555-50199590__0:0:0
ENSG00000109101.8;FOXN1;chr17-28527250-28527361-28506347-28506443-28534330-28534538__-3:0:0
ENSG00000109452.12;INPP4B;chr4-142260491-142260564-142237863-142238011-142270662-142270774__0:-64:0
ENSG00000111897.7;SERINC1;chr6-122451663-122451754-122447120-122447265-122451887-122452057__0:-72:0
ENSG00000114270.18;COL7A1;chr3-48579196-48579277-48578918-48578954-48579479-48579515__0:0:0
ENSG00000114270.18;COL7A1;chr3-48585556-48585619-48585035-48585116-48585689-48585734__0:0:0
ENSG00000116151.14;MORN1;chr1-2336468-2336548-2324096-2324143-2336716-2336850__0:0:0
ENSG00000119686.10;FLVCR2;chr14-75641181-75641293-75640731-75641060-75641842-75641897__103:0:0
ENSG00000119772.18;DNMT3A;chr2-25300138-25300243-25281451-25282711-25313912-25314161__0:0:0
ENSG00000123240.17;OPTN;chr10-13116266-13116340-13112452-13112635-13118887-13118980__0:0:0
ENSG00000125618.18;PAX8;chr2-113278369-113278469-113246753-113246919-113278830-113278898__0:0:0
ENSG00000125864.14;BFSP1;chr20-17508888-17508996-17498819-17499040-17511975-17512068__0:0:0
ENSG00000126217.21;MCF2L;chr13-113078665-113078739-113078362-113078436-113081212-113081279__0:0:0
ENSG00000127616.20;SMARCA4;chr19-10986904-10987003-10986188-10986593-10987665-10987924__0:0:0
ENSG00000130635.16;COL5A1;chr9-134818655-134818763-134817777-134817831-134818847-134818901__0:0:0
ENSG00000130766.5;SESN2;chr1-28269182-28269248-28259517-28259937-28271673-28271871__0:0:0
ENSG00000131408.15;NR1H2;chr19-50379779-50379879-50378740-50379181-50381965-50382174__0:0:0
ENSG00000132554.20;RGS22;chr8-100072144-100072230-100066166-100066296-100080133-100080274__0:-67:0
ENSG00000133030.22;MPRIP;chr17-17161239-17161356-17158431-17159002-17171717-17171865__0:0:0
ENSG00000133710.16;SPINK5;chr5-148070379-148070450-148065346-148065372-148072147-148072201__-57:0:0
ENSG00000134686.19;PHC2;chr1-33368535-33368622-33367115-33367428-33370420-33370585__0:0:0
ENSG00000134871.19;COL4A2;chr13-110449678-110449789-110446797-110446864-110450304-110450454__0:0:0
ENSG00000135253.15;KCP;chr7-128874523-128874610-128862041-128863012-128879521-128879623__0:0:0
ENSG00000136048.14;DRAM1;chr12-101920108-101920201-101901290-101901433-101921215-101921542__0:0:0
ENSG00000136051.15;WASHC4;chr12-105140293-105140401-105137885-105138011-105140898-105141045__0:0:0
ENSG00000136718.10;IMP4;chr2-130343085-130343194-130342876-130342935-130344628-130344712__0:0:0
ENSG00000137101.13;CD72;chr9-35611803-35611919-35609978-35610300-35615942-35616278__0:0:0
ENSG00000138080.14;EMILIN1;chr2-27084414-27084531-27080731-27080952-27084990-27085008__0:0:0
