index_offset,upsilon,upsilon_reverse,tau,tau_reverse,num_na_per_row,row_max,row_min,row_mean,row_median,max_sample,min_sample,target_cell_type
ENSG00000138821.14;SLC39A8;chr4-102285948-102285973-102267871-102268079-102304316-102304481__0:0:0,0.9344681622437185,0.055269942391976634,0.9638482323851554,0.0553017145095663,0,0.9408392409545737,0.001148386610941677,0.05510198391244346,0.017687066217911506,Kelly,COLO783,Kelly
ENSG00000135365.16;PHF21A;chr11-45946075-45946098-45938156-45938312-45948885-45948946__0:0:0,0.7946665547953994,0.07322102655125505,0.926326122877276,0.07322102655125504,0,0.7511127622860075,0,0.07151821198029562,0.0198607404572383,Kelly,COLO783,Kelly
ENSG00000136485.15;DCAF7;chr17-63579336-63579448-63550546-63550815-63579824-63579943__0:0:0,0.7529513333338641,0.1998754077285176,0.7792170775199292,0.2032777251551485,3,0.9347826086956521,0.03292352163402157,0.22459400054297762,0.18753329884908831,K562,T47D,K562
ENSG00000083750.13;RRAGB;chrX-55722185-55722285-55719313-55719347-55729293-55729360__0:0:0,0.7457751400083712,0.2571845302389733,0.7457751400083712,0.2603363014428823,1,1,0.023923444976076555,0.2719814109442091,0.2355332966613151,K562,SNU449,K562
ENSG00000050767.18;COL23A1;chr5-178242340-178242394-178242041-178242128-178245941-178245968__0:0:0,0.7304276717447852,0.17021679656885622,0.7615097003296696,0.17746006450795648,4,0.9215686274509804,0.0784313725490196,0.23777962554610868,0.2248427672955975,COLO783,SNU449,COLO783
ENSG00000204296.12;TSBP1;chr6-32330588-32330609-32323590-32323614-32335436-32335457__0:0:0,0.7233079393733772,0.17450185499205745,0.8018233706975417,0.17524289642997357,0,0.8216245128719691,0.008421694012466386,0.17814765410297903,0.10442194755991625,T47D,Kelly,T47D
ENSG00000185722.18;ANKFY1;chr17-4181253-4181372-4179720-4179877-4183397-4183551__0:0:0,0.7200092110272472,0.15842559947126789,0.8003016901314943,0.16060251344862325,2,0.8176402208660273,0.026746794871794873,0.1792413421552273,0.1522429486892405,K562,GB1,K562
ENSG00000092439.16;TRPM7;chr15-50580873-50580908-50578558-50578664-50583088-50583156__0:0:0,0.7157123100453597,0.18317253107664963,0.777204997865155,0.18593243435396425,0,0.8533614939700823,0.029252944893901567,0.20554878791967807,0.15227425917471166,A172,TOV21G,A172
ENSG00000071189.21;SNX13;chr7-17897333-17897446-17891545-17891635-17940283-17940451__0:0:0,0.7073223978724125,0.19815840776804036,0.7284865457945977,0.2076045628739053,0,0.9435359745556884,0.08704099386342744,0.2721676712218619,0.25318160689388813,K562,786O,K562
ENSG00000082126.18;MPP4;chr2-201664080-201664101-201658476-201658518-201675206-201675271__0:0:0,0.7017483003531686,0.18257201121269828,0.7966294556688855,0.18257201121269825,7,0.787145202431347,0,0.17750056645678997,0.12885509573866538,A172,COLO783,A172
ENSG00000143452.16;HORMAD1;chr1-150711544-150711571-150708893-150708961-150711832-150711853__0:0:0,0.7009867692238585,0.14975556998650769,0.8128912249011139,0.1505626080662432,0,0.7579909637828969,0.010663142846449002,0.15615616083952233,0.08704695691816731,A172,Kelly,A172
ENSG00000104687.14;GSR;chr8-30709813-30709902-30708071-30708141-30712061-30712088__0:0:0,0.6995447207668926,0.16149727534830813,0.734976932115339,0.17115763144124643,0,0.9080171577685544,0.10685171563600028,0.256165764121054,0.21948667939315647,K562,PLCPRF5,K562
ENSG00000109339.24;MAPK10;chr4-86194335-86194407-86107222-86107352-86354529-86354582__0:0:0,0.6976422473693806,0.2420575246567886,0.7015288337057004,0.25329030608731645,0,0.9889807162534435,0.08492855225553819,0.31131707639089307,0.2837818963201719,K562,A172,K562
