ENSG00000174851.16;YIF1A;chr11-66284872-66284966-66284579-66284783-66287597-66287676	ENSG00000174851.16;YIF1A;chr11-66284868-66284966-66284579-66284783-66285380-66285536
ENSG00000133794.20;ARNTL;chr11-13365499-13365592-13360344-13360424-13366664-13366782	ENSG00000133794.20;ARNTL;chr11-13365527-13365592-13360347-13360424-13366664-13366782
ENSG00000138663.9;COPS4;chr4-83045625-83045705-83034446-83035298-83049165-83049307	ENSG00000138663.9;COPS4;chr4-83045596-83045705-83035200-83035298-83049165-83049317
ENSG00000063244.13;U2AF2;chr19-55662501-55662618-55661037-55661189-55663605-55663744	ENSG00000063244.13;U2AF2;chr19-55662504-55662618-55661037-55661189-55663605-55663744
ENSG00000117226.12;GBP3;chr1-89009391-89009494-89008843-89009140-89013184-89013427	ENSG00000117228.11;GBP1;chr1-89055112-89055215-89054681-89054875-89056015-89056228
ENSG00000196531.14;NACA;chr12-56714361-56714439-56713536-56713683-56714601-56714675	ENSG00000196531.14;NACA;chr12-56714370-56714439-56713538-56713683-56714601-56714687
ENSG00000102882.12;MAPK3;chr16-30118046-30118163-30117669-30117784-30118348-30118538	ENSG00000102882.12;MAPK3;chr16-30118098-30118163-30117669-30117784-30118348-30118538
ENSG00000198848.13;CES1;chr16-55810926-55811007-55810516-55810664-55812902-55813043	ENSG00000198848.13;CES1;chr16-55810926-55811010-55810516-55810664-55812902-55813043
ENSG00000114861.23;FOXP1;chr3-71112535-71112628-71053635-71053773-71198201-71198392	ENSG00000285708.1;RP11-79P21.2;chr3-71112535-71112637-71053635-71053773-71198201-71198392
ENSG00000182923.20;CEP63;chr3-134537154-134537211-134532777-134532900-134545585-134545777	ENSG00000288700.1;RP11-22E12.2;chr3-134537154-134537268-134531844-134531940-134545585-134545819
ENSG00000109339.24;MAPK10;chr4-86194335-86194407-86107222-86107352-86354529-86354582	ENSG00000109339.24;MAPK10;chr4-86194318-86194407-86159297-86159467-86354529-86354644
ENSG00000153956.16;CACNA2D1;chr7-81997178-81997235-81994867-81994939-82005422-82005497	ENSG00000153956.16;CACNA2D1;chr7-81997178-81997250-81994867-81994939-82005422-82005497
ENSG00000169855.20;ROBO1;chr3-78668483-78668565-78668133-78668302-78670095-78670301	ENSG00000169855.20;ROBO1;chr3-78668471-78668565-78668133-78668302-78670095-78670242
ENSG00000091262.17;ABCC6;chr16-16212184-16212246-16208727-16208859-16214323-16214449	ENSG00000256340.8;ABCC6P1;chr16-18582405-18582467-18580209-18580335-18585805-18585937
ENSG00000184182.19;UBE2F;chr2-238025338-238025412-237987962-237987992-238030555-238030613	ENSG00000184182.19;UBE2F;chr2-238025341-238025412-238016532-238016633-238030555-238030595
ENSG00000176927.15;EFCAB5;chr17-29996305-29996360-29943564-29943649-29999905-29999976	ENSG00000176927.15;EFCAB5;chr17-29996311-29996360-29968790-29968859-29999905-29999933
ENSG00000127616.20;SMARCA4;chr19-11033766-11033865-11033081-11033517-11034122-11034146	ENSG00000127616.20;SMARCA4;chr19-11033771-11033865-11033289-11033517-11034122-11034200
ENSG00000131748.16;STARD3;chr17-39657774-39657839-39657007-39657085-39659050-39659106	ENSG00000131748.16;STARD3;chr17-39657774-39657852-39653480-39653750-39658404-39658522
ENSG00000087995.16;METTL2A;chr17-62427787-62427837-62426298-62426654-62435231-62435292	ENSG00000165055.16;METTL2B;chr7-128480646-128480696-128479157-128479513-128498035-128498142
ENSG00000163631.17;ALB;chr4-73405115-73405173-73404254-73404406-73406628-73406761	ENSG00000163631.17;ALB;chr4-73405120-73405173-73404286-73404406-73406628-73406761
ENSG00000106211.10;HSPB1;chr7-76303801-76303865-76302672-76303076-76303983-76304292	ENSG00000106211.10;HSPB1;chr7-76303806-76303865-76302672-76303076-76303983-76304292
ENSG00000106211.10;HSPB1;chr7-76303801-76303865-76302672-76303076-76303983-76304292	ENSG00000106211.10;HSPB1;chr7-76303801-76303844-76302672-76303076-76303983-76304292
